,Emotion,Text
4659,anger,shop Downtown accept Visa Card  December year
4660,sad,loss mother
4661,joy,forgot product hair night today
4662,joy,Calabar Enjoying people weather food culture amp Delighted Christ
4663,anger,BLAHHH SUCK LA LA LA DISLIKE BLAH BLAH #Frustration
4664,joy,friend told me quotThe secret long marriage divorced  
4665,anger,close friend intimate bodily relationship (he girlfriend) started avoid want talk more
4666,sad,Había una oferta en el hipercor de 2 ponies de la nueva generación por 7€ pero solo estaban de las protas Rainbow Dash Futtershy
4667,joy,God good time low life world Remember are
4669,sad,General Ye Jianying died
4670,fear, acrophobia  chronic fear flying 
4672,joy,Making best bubble bath putting single bath soap in
4673,sad,’ know happened  lost 
4674,joy,  Good Morning Your happy morning wanting dance
4675,joy,Cenando en mi casa con la preciosa negrita  :) {♥♥}
4676,fear,subjects term afraid fail result grade D good passed felt comfortable then
4677,sad,Im glad wore fuzzy socks uggs today wish sweats today though #screwjeans
4678,sad,work early Yep proud dismay supervisor here
4679,anger,’ grandfather  liked 
4680,fear,silent  staring horrified eyes 
4681,anger,Bellybutton said indignant voice  question impugned McIllvanney s honour 
4682,sad,Also took Swanson Pyramid Greatness lab
4683,sad,father 4 children killed accident
4684,anger,Irishman Mr MacSharry furious Mr Delors  interference resigned post 
4686,sad,3 3 tourney morninghell think signed like 2 people
4687,fear,going attempt hair cut
4688,sad,Im sucking SMB3 tonight beaten world yet 14 lives
4689,anger,like ligit kids throw rapCOME U LOOK Like fucking idiot
4690,fear,room room #HolySpirit #trust #Lord shall direct steps
4691,joy,Normally happy  sunny person  felt vague disquiet  changing wanting 
4692,joy,Neighbours recalled Ms Bailey overjoyed birth daughter 
4693,joy,good thing plane towed Tarmac gate #thisisgoingtobealongnight
4694,joy,hour till doctors appointment school
4695,anger,  aggressive political tweets stirring pot twitter feed #takeitoutonthebenchpress #haha
4696,sad,Je suis en train de finir Secret Mana Je vais enfin pouvoir mourir en paix
4697,joy,  like win euro lottery
4698,sad,implies express fieldworker s moral commitment foreign hosts  source personal anguish heartsearching 
4699,sad,Bus stop cigaret vending machines smoke now
4700,joy,  wrecked couple weeks ago found today fixable car
4702,joy,Listening   explain book 101 dalmatians
4703,fear,forced hide ignorance  ill bohemian poet  trial burst horrified society 
4704,sad,Im stuffed eat junk
4705,sad,semester coming end :( #wherehasthetimegone
4706,joy,Joy conversation away God Psalm 30:11
4707,joy,note anger carried groups couples passing  provoking amusement raised eyebrows 
4708,joy,supreme awaken creative expression knowledge (Albert Einstein) #motivation #inspiration #music
4709,joy,Ugh fail math test today
4710,joy,School rehearsal till 5:30 #bye
4711,anger,sadness (A) relating slaghter furseals
4712,fear,True RT   afraid tomorrow seen yesterday love today #lessquot
4713,sad,listen Death Cab fro Cutie short periods times
4714,sad,missed  missed companionable secrecy relationship  miserable 
4715,sad,  True Wawa naman yung mga quotdinadamayquot nila sa Tuna coupling na yan tsk tsk :((
4716,fear,news nervous cop friendly cop mall hate that
4717,fear,#LORD fell kingdoms lands #Judah war Jehoshaphat
4718,joy,Marcel got twitter jail gtM
4719,fear,  quotI afraid tomorrow seen yesterday love today #lessquot #godislove  Rev Run
4720,sad,  ppl care aboot strippers Biancas dad gave away settle debt knows
4721,joy,Happiness horse harness it ~ Russian
4722,joy,Christmas holiday started felt joyful finished exam
4723,sad,  haha honestly days outta seven summer Idk happened :(
4724,anger,Getting spit makes wet angry choice RT  
4725,anger,mad reason im mad mad before
4726,fear,think enrolling Organic Chemistry
4727,joy,today can notice effect mood reaction
4728,joy,prayer reign hearts Christians
4729,fear,says afraid dark let walk 1 blacked theaters
4730,joy,relieved  fiercely delighted apparently stopped tracks  Polly apprehensive going deck 
4731,joy,m pleased ve reacted bad start season  
4732,joy,quot    school literally sucking life me c:quot
4733,joy,lifes greatest moments finds his/her true talent  sad moment u realise SLEEPING 
4734,joy,think twice rides ride  good time 
4735,joy,remember highly amused rendering young rook s cry whilst gobbling worm : perfectly true nature 
4736,sad,  coming Italy live concert you
4737,sad,sky blue sun shine okay fall apart #everythingwillgetbetter
4738,anger,bought dinner homeless lady amp gave money feed cat fuck situation possible western Europe
4739,joy,snow colder gets closer ice
4740,sad,Miss boytoy :( cant function :(
4741,fear,told 
4742,anger,Prosecutors clearly miffed businessman changed statements given investigation case 
4743,anger,Yes  fill form  emergency room 
4744,joy,taking xmas photos today family
4745,sad,pissed off looking 4ward buying kate Bushs new album preordered cancel cos 1/2 needs £
4746,joy,rules world truth grace #Jesus
4747,sad,greatest cause Prince s despondency feeling served useful purpose 
4748,joy,18th birthday passed drivingtest glad study much lucky  proof difficult  everybody passed test
4749,joy,Work like 9 hours black Friday hollister employee
4750,joy,unbelievably exciting day laundry grease removal
4753,joy,Rain home rain
4754,sad,sure happened cover agenda ripped off cover like half gone too
4755,joy,God quoteye stormquot find peace calmness quietness faith SPEAK quotpeace still Jesusquot #DIVAew
4756,anger,Lissa hated cold incisiveness tone  angry caring 
4757,sad,apparently 10 people year die vending machinesit proves humans die easily
4758,fear,process spotting refusing obey source true #empowerment Martha Beck
4759,anger,Mom  Ill wear helmet Ill drive sane  promise 
4760,fear,cellphone commercial term quotselfawarequot
4761,sad,Nicky looked crestfallen dare argue Constance mood 
4762,joy,Baby cant kick anymore :( getting big jabs feet ribs :)
4764,anger,Naaaah Im asleep day off lot carry shouting house other
4765,anger,Ppl grieve different waysmine happen
4767,anger,father failed send transport money closure school
4768,sad,Pret manger license opposite money
4769,joy,  throat sore nose running LOL Ive got animation
4770,joy,favorite sister RT   Bogue chitto bound broke cruise control
4771,joy,time year   # love Xmas #WayFareHolidayParty
4772,anger,stranger district  coming brow hill  stopped astonished little peeved Ploughman s Lane lying beneath 
4773,joy,Clive attended  visibly gleeful spared school undesirable publicity unloading nick time 
4775,joy,work bangjust finished ready 12 hour day teaching tomorrow :/
4776,joy,finally watch Glee tomorrow omg
4777,sad,Rileys asleep bedI excited Im torn Hes growing fast
4779,joy,assignments Friday terrible grades classes Im going fail finals
4780,sad,Im sorry 
4781,fear,woke middle night dream nightmare unintelligible dream wich woke certain end
4782,sad,Putting decorating house Christmas tomorrow grade papers write lesson plans tonight
4783,sad,Aint truth RT   miss football season ACA :/
4784,joy,found hate Charlie brown me soulmate   yes
4785,joy, Katherine  told pleased shall going school Valois frequently 
4786,sad,Jane Moss said yesterday double heartbreak daughter s death murder mum 11 years ago want care needy 
4788,anger,disappointed angry bad quality documentay program TV opinion topic important program seriousness consideration
4789,joy,  im literally shaking   concert going highlight year #psychedoutofmymind
4790,joy,midnight CHRISTMAS MUSIC GO
4791,joy,impressive  use Internet phone 
4792,sad,dog years died watched Soporification
4793,joy,love making people happy
4794,fear,boyfriend gonna kill awesome driving
4795,joy, amid great excitement  mother  guests drank wine laughed loudly spoiled Pam 
4796,sad,got tired LMS ish Facebook sthu U need attention bad
4797,joy,Donna excited 
4798,joy,met friends seen long time
4799,joy,Finished paper Ended 1700 words total :) happy it
4800,fear,war CIA alarmed leftwing British governments  politicians regards friends Moscow 
4801,sad,Damn Lions cant faithful
4802,joy,’ better  
4803,sad,Denning family feel sad  Sharpness thriving  ll busy port 
4804,sad,exboyfriend separated
4806,joy,Manufacturers play excitement commentary sell sets 
4807,fear,wat du fink success sucks stressi guess blew quicksuccessJAY Z
4808,joy,Morning tweeps Beautiful day amazing city ours 1 day till weekend
4809,joy,went pub large group friends drank danced
4810,fear,#doubt #hate knocks door remember answer #fb
4811,joy,U seduced instant temporary + expect 2 serve experience 2 U U R far #TruePower #Wakeup #Leader #in
4812,fear,Unknown changes replace #stability familiarity ambiguity uncertainty #Leaders #JO #Amman #ReformJO #Jordan
4813,sad,Sorry  dialed wrong number 
4814,sad,seen message bottlegood #crying #needadog
4815,anger,  fuck old school shouldnt allowed tv
4816,sad,deeply depressed  felt guilty depression 
4818,sad,Damn knew :( wanna fall cus pic up Trying hard to
4819,fear,Watching Greasy Reesey naughty Marky Mark tonight
4820,joy,      staff party sun bodega totally come bastyan too useless
4821,joy,  blessed you RT   2012 Line Camp Leader blessed happy #Baylor #SicEm #linecamp
4822,sad,looked utterly desolate thirtyeight years  cheeks sag jawline looked heavy 
4823,fear,Finding Eternity Arouses Reactions Freeing Excellence Affects Reality
4824,joy,worked lawyers office Summer got good reference him
4825,fear,think dangerous  cant turn 
4826,fear,years protected seed time beautiful flower~SC Paul
4827,sad,Philippa thought  news benefits king  brings sorrow rest 
4828,joy,leaving 4 amnine hours car guess gets back #thisgirl
4829,fear,considerable public disquiet  bugger Parkhurst panicked entire country  going lie low  
4830,fear,  khans Guno knocked  boating sign
4831,fear,commercial ethic meant deterioration standards  cutbacks Overseas News department  glories Bush House  caused dismay public communications world 
4832,anger,’ sure especially bad  word unpleasant 
4833,fear,saw   Pitkin earlier today n crossed da street saw
4834,sad, sense sad   writer remembers 
4835,sad,friend pass high school graduation examinations
4836,joy,God MAJOR LIFE KNOW IVE COME WAY CHRISTIAN WALK  #STRUGGLE #FAITH #POWER #NEWLOVE
4837,joy,lectures sensed unexpressed understanding boy know exchange glances  think likes me like too fallen love 
4838,fear, ’ understand  need tomorrow morning  accidentally spilled beer wife ’ dress wedding attend tomorrow  ’ gonna kill 
4839,anger,verdict Monday  indignant Cannes president Alain Pedretti described  scandalous  
4841,fear,Seeing look dismay mother s face  Tamar continued   wo nt telling lie 
4842,fear,često zamišljam taj dan ali sve više udaljava od istog
4843,anger,think   cant believe way boss ordering lately  mean  like CEO  
4844,joy,Voice update: voice developed ugly man whisper
4845,joy,mums ranting sort gibberish RT   Dads ranting Punjabi
4846,sad,Rained night long Feeling people places like Diepsloot drains life miserable
4847,joy,Spending day bed sick cat
4848,fear,False Evidence Appearing Real
4849,sad,grandmother passed away 
4850,joy,24 hrs employed actor  unemployed actor  employed actor  unemployed actor salesman  
4851,sad,Tony looked happy  said somewhat despondent lack progress finding employment 
4853,anger,  differ good sir hate took truck
4854,joy,Thanks  lets decide suits looks best occasion 
4855,joy,Esta sonando creo que en vez de ir la voy venir la apple store de fiesta Oo
4856,sad,looked Phoebe anguished expression nearly honest repentance 
4858,fear,“  afraid tomorrow seen yesterday love today #less”
4859,joy,Imma time outta night complete math study sheet exam tomorrow
4860,sad,gettinv kicked scrabble Need english class #throw ds it
4861,sad,  idea surviving marmite OH hates glad live NYC
4862,sad,U miss loved you spoil you slow stroked you u know what  
4863,fear,Climbing mountain view suddenly came ledge nearly sheer drop side cross
4864,sad,Surely knows killed Ann Heron person ease pain heartbroken family 
4865,joy,Hmm think word upgrade needs redefined think upgrade means pay less rubbish phone amp lesser tariff
4866,anger,Listen music  ’ cook dinner  
4867,sad,sad departure 
4870,joy,3rd week advent candle
4871,joy,rip chunk wall off drop belongings clothes parkinglot study chem night
4872,anger,brother went new shirt adored returned dirty grease
4873,anger,JeanPaul gave sigh exasperation 
4874,fear,young moved family Auckland Wellington meant new school friends (etc)
4875,joy,Lyk u kill urself RT   nice pass “  Evry1 knw dis planet ebi u way u nice kuraa RT
4876,anger,  guess surviving getting balls knocked PPV rape murder violent
4877,joy,Thank God 
4878,fear,9 biggest fear needles cant stand getting shot
4879,anger,recall thinking home soon Mother angry missing supper 
4880,joy,Congratulations  Mr  Stuart  city marathon 
4881,sad,awfully sorry  think mind 
4882,joy,=/ Knew time wisely now hav wake extra early min revision
4883,joy,Time struck 8 oclock heard radio selected Robert Blake Secondary School Form I happy selection parents happy joy
4884,joy,  told turned toy shed tomorrow morning
4885,fear,wind sounded like woman SCREAMING #helterskelter
4886,joy,flippin thankful absolutely burstin   life Ive happier #mushytweet
4888,joy,Gotta study religion cosmo bio assignment tomorrow
4890,joy,overwhelming felt #coldplay sang second song good thing #xfactor year show lt3
4891,joy,Esperando al treen gran fiesta en
4892,anger,twin business Needs stop
4893,sad,’ know  ’ feel like going  guess ’ feeling little homesick 
4894,sad,girlfriend  guess playing army game 
4895,joy,R u weary grace uplift soul Seek find true #peace
4896,joy,Black Friday shopping
4897,sad,face completely  slightly mournful 
4898,joy,Lake Farm Park lights familyhave walk fricken cold 4 hours pulled/strained hamstring
4899,sad,sad expulsion comrades university demonstrations
4900,sad,  Ill check babe gonna moment Ive got cell phone internet connection
4901,fear,going home night Paris man came asked afraid late night
4902,sad,    jealousy playing near rest year :/
4903,joy,Woke terrible sore throat congestion headache :(
4904,anger,honest  Im bit fed 
4905,fear,  Euhoui Il était pas en statue celuilà
4906,joy,Miss baby Ill friday ☺
4907,anger,want indignant boyfriend doorstep breathing fire  
4908,sad,Sometimes person gives unexplained happiness reason your
4909,fear,come understand Love dual hands / cautious wandering Love’s laundering
4911,fear,night
4912,joy,Short nap studying Marketing till 9
4913,joy,yay starting research paper little self partner decided help
4914,fear,stoked fear factor coming   factor
4915,joy,thank  Steve  encouraging 
4916,anger,quotMan forget lies #sleepquot#xA Thomas De Quincey#xA#QUOTE
4919,joy,Thats exactly way feel 
4921,joy,Midnight Unstarted essay plan tomorrow teacher like me
4923,sad,niece nephew gone Excitement day :( #holidaysrevolvearoundthemnow
4924,joy,determined ratio focus God focus problems greater focus God greater joy
4925,joy,Awake already Crap sleep Got voice
4926,sad,wrote letter boyfriend answer time defence mechanism found felt sad talk anyone
4927,joy,role forget Thank gave pushThank You
4928,fear,worst thing time year fall public god let
4929,anger,feel easy  ’ pissed 
4930,sad,nephew taken hospital meningitis know happen
4931,sad,Living mother like living extremely depressed friend cant discuss sex life with
4932,anger,Feel like Ive smacked face Enda et al man it limit push not
4933,joy,Welllll time ap comp homework know photography shit
4934,joy,Murielle Scherre en La fille dO stage  
4935,joy,Pray continuously kiss slowly laugh obnoxiously live honestly forgive quickly love everything
4936,anger,    hit girls kiss lips afterward cuz feel bad
4937,joy,concert great 
4938,anger,post football status fb today buried alive
4939,sad,know  Mr  Douglas  sick 
4940,sad,god saw sad animal commercial
4941,fear,wanted express fear horror 
4942,fear,    u dont wanna lose MUSA isscared money dont moneyquotCashquot
4944,sad,Twerk Team trendingguess lil girls aint getn pregnantthey Twerking #SaySomethin
4945,joy,  cell phone service im tweeting you shopping
4946,anger,Anthony  caught making international calls office phone  called sick times month smell like alcohol 
4947,sad,Christmas month away Im tired Christmas music
4948,joy,offered high position trust later accepted
4949,sad,nt word sympathy offer ease sorrow loved lost 
4950,joy,forced decorate house Christmas
4951,joy,feel bad recruits staying night picked worst week overnighter studying day/night
4952,joy,        ahí se toman una por mi en el q les vaya bien la otra invitan Slds
4953,sad,ended sleeping 12 hours dream dogs feels unreal truly gone #brokenheart
4954,anger,Hmmm im extra coffee certain kind certain way man miss espresso machine
4955,sad,sad missing forthcoming whiskies 
4956,joy,night wanna sleep early night 8am final
4957,sad,PENNYS BOAT Charlie Nooo lt/3
4958,sad,mad   making cd :(
4959,joy,sailing boat night moon listening Pink Floyd drinking good wine good company boat steered autopilot eclipse moon
4960,fear,glance slid  taking horrified Katarina surrounded maliciouslooking women 
4961,anger,classmate borrowed notes return time test selfish irresponsible delayed studies
4963,joy,current lover busy work study time month afternoon recently love hours showered ate together
4964,joy,Tool academy making look forward tattoo tomorrow 4 years got one forgotten pain/itchyness
4965,joy,Amazing day perfectly relaxed night Im thankful smiling laughing good friends awesome girl great family
4966,sad,Huh RT   romance talk Ive date
4967,fear,father chronic desease autumn 1983 strong fit seizure
4968,fear,  attending today severe #shame #hangover send best wishes though Lovenbubbles
4969,joy,Heading home
4970,fear,Tenn Ole Miss declined play SC year
4971,anger,’ wrong  want break horrible job 
4972,joy,Gotta super early tomorrow franklin
4973,sad,  think conversation time
4974,joy,Mungkin perlu buat twitter penuh news feed aku dengan status dia
4975,joy,broke glasses week finals papers duethe time reading writing #yay #awesome #great
4976,joy,thought hold key mystery sole component strangely elated state 
4977,sad,gunna suck waking nd ur face
4978,fear,The spirit evil oneSatan spirit
4979,anger,dad told mother
4980,joy,Halfway done* Christmas shopping
4982,fear,think hate loose hairs world
4983,sad,listen radio way home GARBAGE station
4985,anger,miffed European Parliament head  President Jose Maria Gil Robles  visiting Paris  promptly canceled scheduled stop de Charette s office  pending apology 
4987,joy,spending night 4th floor library
4988,joy,Happiness lies joy achievement thrill creative effort ~ #Quote ~ Franklin D Roosevelt #xAvia  
4989,fear,Oh  dreadful  ’ sorry 
4990,sad,  wish Eli anybody catch damn good pass
4991,fear,“  afraid tomorrow seen yesterday love today #less”
4992,sad,Better butt bed sleeping tomorrow
4993,fear,says middle name nervous cuz thats mom calls shes angry
4994,joy,admitted Higher Institute
4995,anger,Yeah  head hurts  ’  ’ physics class day  ’ killer 
4996,joy,successful day Christmas shopping work gym afterwards
4997,fear,saw look horror face 
4998,anger,True hollywood story casey anthony
4999,joy,media excitement Enid Blyton Captain W E Johns soon died away 
5000,joy,John Arne Riise flattens man flattened golf club
5002,sad,Interpersonal arguments difficulties common feature experiences depressed patients comparison group 
5003,joy,darkest moment true joy amp peace heart
5004,fear,secretsunday: little play Factor little sister think funnny :D
5005,joy,Super sore got xrays today pain meds Plus Christmas Riverside to #pain #stressed
5006,fear,“  afraid tomorrow seen yesterday love today #less”
5007,sad,need boyfriend come rub backbecause hurtsand hes good ittoo bad hes hours away
5008,joy, naturally excited getting championship 33 years   said 
5009,joy,particularly pleased emphasis investment education training  science research development commitments gave transport health community care 
5010,joy,Presenting unfinished senior project tomorrow day backneed outline cover letter resume
5011,fear,Im afraid fall asleep worry world time wake #insomnia
5012,fear,good friend behaved cool manner long time
5013,fear,Vincent irritated dismayed 
5015,sad,cant this Fuuuccckk whyd dieeeeee die real 4 years born #somuchsadness
5016,fear,wife quotfun partyquot evening think is: buy strapon
5017,joy,proper chilled weekend time sleep paradise tomorrow #zzzz
5018,fear,Tom Shakeshaft  15  reveals dismay plans drive dual carriageway right beautiful piece countryside lives 
5019,sad,pity 
5020,joy,love time
5021,sad,assumed mother wept shown grief father loved father s parents  wept copiously 
5022,joy,quotYou carried cross took shame believe it shine light amazing grace recieve itquot
5023,joy,Jesus lmao RT   : shit pants Pure 100% gravy
5024,anger,#ruscrooged truth: hubby lost message 2day Hubby bcuz knows spoke 2 him bcuz cant 4give rage
5025,sad,behaviour Reverend Prentice added anguish 
5027,sad,Hmm  think ask friends advice decision  Im sorry 
5028,anger,employers knowledge communication bank accounts changed personal accounts closed
5029,sad,ruin perfectly good night: fridge cold separated delicious vanilla frosting ever
5030,joy,  anticipation pregnant Christmas Day bringing #ChristmasEveDueDate
5031,fear,time face face monstrous dog lives street
5032,joy,happened went check year results thought fail found clear pass courses
5033,sad,dnt eat day finally eat eat
5034,fear,relationship girlfriend broke realized late
5035,fear,way  scared wits 
5036,sad,failed exam study 
5037,anger,sixth congress  1986  irate delegates rejected ridiculously optimistic programme drafted secret Le Duan  secretarygeneral 
5038,fear,theres things holding like
5039,joy,Work 7 morning Barely going bed
5040,anger,acquaintance beat person reason showed power
5041,anger,Physical violence friend listen repeatedly tried warn him avail Result: people \pissed off\
5042,anger,time when work sent actually sort volunteered run errand authority send address far especially foot turned incorrect too trip waste
5043,joy,Waiting 40 minutes train temperatures
5044,joy,2 weeks visit people visit rest time eat turkey good Sharons
5045,joy,CherryBerry Frozen Yogurt gift cards great stocking stuffers
5046,sad,ex fucking coward  love   
5047,joy,lies health  George William Curtis #quotes #trot #gemini
5048,joy,Pabst hand Gopher Puck Tellie house unbuckle pants involuntary sounds
5050,fear,loathing las Vegas miss elleray u need b right gonzo :) zx
5051,fear,ex quadruple hoe Sumbodi need gne stop playin w/ Lil scaryDA LOUDEST DOG N DA POUND TAIL TUCKED N ASS
5052,sad,  ridiculous tweet relates daily life
5053,joy,German lesson friday oh
5054,joy,5mo asleep night house clean 3yo amp husband picking MIL SIT QUIETLY
5055,joy,  en er komt ook een nieuwe cd
5056,joy,’ great  uses natural materials ones scientists  prefer natural remedies manmade ones 
5057,joy,success mine real achievement
5058,sad,Missing Judas Priests farewell tour Toronto tonight
5059,joy,  test tomorrow Sunday submit paper onlineamp 2 Monday dont time :[
5060,fear,Strictly avoid frightening ideas
5061,fear,        c est normal que les gens ne répondent pas aux mains pour les stages 
5062,fear,  yo mane think pac fight may rumor says 4th fight marquez handled think hes scared
5063,fear,Nervous safety 
5064,fear,camp went walk night own lost way spent hours looking camp
5065,sad,brown  nearly auburn hair clung scalp misery  sad eyes stared freckled face  hands clenched tight 
5066,joy,eagle landed Phoenix Ironically colder desert SF
5067,joy,Lord strengthno matter enemy drops spirt
5068,anger,come home evening thing sit smoke cigarette day found flat totally desolate state girlfriend wanted tidy finished
5069,fear,Im painful situation definition of: damned damned #life #love #therightthing
5070,sad,Washington vs Toronto Tie game time saw it cousin betted leafs :(
5071,anger,expect anger rage jealousy kindness stay clam watch burn flames :) #life #smile #Egypt
5073,sad,fuse today plus goodmorning text
5074,anger,  offended partner 
5075,fear,  tells weve sacrificed others tells time 2 worry future #xA#xALuke 9:3
5076,joy,mall second day row
5077,joy,went visit friend hospital undergo operation rupture glad hear operation succeeded relieved pain
5078,sad,  TT things like lt shouldnt tweeted cute girls especially pot smoking ones #truth
5079,fear,Agony  time feel nervous facing Steve Bull Andy Mutch 
5080,sad,Treatment pregnant negative result
5081,anger,caught \peeping tom\ window getting undressed
5082,fear,’ little nervous  ’ flown 
5083,fear,price recognised low insurers worried apparent undervaluation organisations 
5084,joy,team  need water cuz run upstairs downstairs (x5) got pass
5085,sad,findings indicate measurable differences normal depressed women 
5086,sad,  lolololol funny sure hope parted good note :/ haha COGM broken
5087,anger,accused bitching best friend
5088,fear,women OooImagine ur Female artiste decide giv u blowJob inside studiou fit ask session money naChoiii
5089,anger,Checked yesterday Ikea Homebush 2C stock did Drove today told cant sell quality control
5090,sad,beard went spectacular hoboesque 3 days
5091,joy,Definitely feel like champ knee soccer
5092,joy, Lachlan planned  expected attack morning  happy lookouts reported Macleans  approach early evening 
5093,joy,Eeeeeeeee 2 friends got engaged summers wedding season calendar filling quickly
5095,joy,people walked similar path #comfort #love
5096,anger,feeling makes ur mouth work faster ur mind •￼Evan Esar
5097,joy,2 hours left work laptop battery says 2 hours 12 minutes
5098,joy,u doubt God listens ur prayers ask life year day Im blessed Im tears
5100,joy,’ bargaining  house like river costs double price 
5101,joy,beginning Olevel summer term weighed stone pounds  pleased lost pounds  certainly nt 
5102,sad,Jacob filled brim sorrow woman  despite  loved 
5103,joy,  blame you Literally struggling eyes open Look whos
5104,joy,end hard work masters  nice feeling degree 
5105,fear,  Im casual noo #WEAREFALKIRK anat getting pair cruyffs stoney livin large
5107,anger,explain makes sense  girl ’ routine complicated   shower  dressed  brush teeth  ’ door  Half hour  tops 
5108,fear,Damn good time Reseda good early unexpected journey Lets this
5109,joy,  love waking son penicillin tonsillitis comforting 800/930/1100pm/130/300/530am
5110,sad,terrible week 
5111,joy,Effffff sensitive teeth hurt Oh well Im getting yanked head Friday #wisdomteeth
5112,joy,Im afraid tomorrow seen yesterday love today Onwards upwards
5113,sad,Glenn Close s stubborn painridden performance Sunny makes sad hate time 
5114,joy,Playing Tiger   listening Christmas music
5115,sad,Im longer mayor Columbus Crew Stadium foursquare :(
5116,joy,Hurrah NIs flight expected early Zero sleep tonight then
5117,joy,Monday 430pm PST  Free Webinar plan let release 60+lbs 4 months Contact details
5118,fear,think 4   RT MaxwellOwusu   way miss u lot eh tell Obaa Yaa im coming home   FIFA 12
5119,sad,  gotta explain 2 ur kids got burn mark ur ass 
5120,fear,creative block bodys natural flow #instincts #intuition cultivated Western mind
5121,sad,Sorry  Mr  Polly 
5122,joy,Im Jus tryin feel lil cause felt #Pain niggas cross yu personal #Gain
5123,fear,saying muslim hell fire
5124,sad,Conner guy championship team #kubball
5125,fear,hour receiving certificate results frightened saw crying felt tense time went fear grew
5126,fear,RSPCA says try different tactics  attempting gain animals trust re frightened people 
5127,joy,Thank   Hope year 
5128,fear,idea whilst brother boasts good Os results study for Im afraid Id lose him
5129,fear,like sharing feelings Im scared run admit something
5130,joy,Thanksgiving Christs giving
5131,joy,ending christmas tunes work
5133,anger,think  Let ’ chance 
5134,joy,awesome feeling tries piss end pissing off
5135,sad,Realizing school soon over different ways meeting friends year
5136,sad,felt sadness notice Im important determinate person things friend soon after us thinks us
5137,joy,Weeping endure night cometh morning Im excited #Morning
5138,sad,Irredeemable vol 6 amp 7 comics rest trip
5139,joy,Playing Christmas music ukulele
5140,joy,Yes imma wear red white
5141,joy,professional musician  sensitive happy loved 
5142,sad,smiles hide anguish 
5143,anger,like girls cut half hair short long Like no cant both
5144,joy,concrete equation joy cant explain life
5145,anger,Doh RT   choose pay price assholes #facepalm
5146,fear,IMPRESSED awe Department Transport fearless tackling problems juggernaut lorries EEC regulations  confess disquiet recent plan 
5147,anger,’ problem  Things getting hand  sticking nose ’ belong 
5148,sad,found baby whipped Auntie sad moment sadness on
5149,sad,says quotI hate lifequot want look quotYeah try living minequot #Depression
5150,fear, looked face ampamp said care
5151,fear,sit entrance exam fear possible failure
5152,joy,Chillin wife unborn baby girl #joy #joy #joy #joy #joy
5153,joy, performance excellent 
5155,joy,LETS TRY KIND LET CAUSE ANGRY SAD
5156,fear,greatest barrier success fear failure
5157,sad,Read 100 issues Ultimate XMen man series cut short what Ultimatum screwed guys over
5158,fear,“  afraid tomorrow seen yesterday love today #less”
5159,anger,  net issues got dison update went download download cant connect xbox live 
5160,sad,lost person meant me
5161,sad,saddened article uses spurious connection dialect poverty means attacking English teaching country 
5162,fear,Going long long day work looking forward photos night
5163,fear,frightened boy bolted Gooseneck s  scream Fishbane s corner unwary Pole reaped consequences turning view drama 
5164,sad,broke afford Black Friday deals online
5165,joy,3 hours left test dont understand shit 
5166,sad,Spent half money mall today
5167,joy,recently got appartment central Gottenburg
5168,sad,  haha actually dont mind it half sarcasm Playtime soon End
5169,joy,reason running treadmill seeing   mortgage commercials refreshed  
5171,fear,allowing sabotage Empowering #Success  back 2 Timothy 2:7 #queeninyou
5172,anger,know gets going   love speaking Spanish owl city
5173,joy,praying  LOLOOoo DONT STOP  praying keeps Happy  happy =  dont let ole devil drag u #YESS
5174,fear,quot  afraid tomorrow seen yesterday love today #lessquot
5175,joy,old slide phone
5176,joy,wanna jinx it Im great week far Lifes uphill Fingers crossed stays way
5177,fear,people conditioned know that want face gon face fears
5178,anger, Im living anymore  listen rules 
5179,sad,sad final lecture class Life Teachings Jesus=best class ever #mylifeisbethel
5180,fear,fear order diet coke real coke cola #realfear
5181,joy,Typing 12 page paper
5182,joy,greatly inspiring   great knw ppl like exists world #service #heroes
5183,joy,Grateful teachers amp fellow travelers lifethe right teachers come time
5185,joy,result certificate exam announced surprised happy result better expected
5186,joy,Woke late missed bus raining going great day
5187,sad,Feelings hurt: thanksgiving meal pushed hours
5188,joy,  counter pills work :/ endure pain mom
5189,anger,Time heal all fact forget angrier become simply 4get obviously significant
5190,sad,basically coming downpour track right now
5191,joy,falling asleep  McLeish amused Bruce Davidson s hopeful  proprietorial air 
5192,anger,parents arent going complain bt lack internet will
5193,anger,fight fire Fight fire healed #kindness #SuddenInspiration
5194,sad,Working unAmerican said work tomorrow
5195,anger,furious Mr Reynolds accused leader  Des OMalley  dishonest 
5196,sad,Vorrei che le persone con cui parlo su twitter fossero miei amici di tutti giorni
5197,joy,GOD GOOD2011 PROMISED INCREASE YEARI SERVE GOD KEEPS PROMISES HEAR ME
5198,joy,Sounds good  
5199,sad,disappointed 
5200,joy,  Hurrah Im decorations jingle bells Tidings comfort x
5201,joy,  giving loving peaceful
5202,sad,Gah Weird allergic reaction closes throat amp makes difficult swallow appears triggered cheese
5203,anger,damn walmart computers slow want finish CBL 10 minutes
5205,joy,Night comes Morning ~Psalm 30:5(NLT)
5206,joy,down   bad sports day
5207,joy,GM Hope today great day everybody
5208,sad,sucks enjoying movie know minute away ending
5209,joy,selected TISS X
5210,sad,feel miserable tell truth 
5211,joy,  big list items need found transferred shop thats taken 4 hours bak later
